id,slug,date,authority,company,sector,section,violation_type,legal_provision,penalty,penalty_inr,outcome,trust_tier,url,sources
IND-DPDPA-002,draft-dpdp-rules-meity-202501,2025-01-03,MeitY,Draft DPDP Rules,Government,dpdpa_board,Subordinate legislation,DPDP Rules (Draft),N/A (Rules),0.0,Consultation,press_reported,https://kensara-intelligence-module-alpha.vercel.app/enforcement/draft-dpdp-rules-meity-202501,https://www.meity.gov.in/
IND-CCI-001,whatsapp-meta-cci-202411,2024-11-18,Competition Commission of India,WhatsApp / Meta,Social Media / Tech,sectoral_regulators,Data-sharing / abuse of dominance,Competition Act §4,₹213.14 Cr,2131400000.0,Fine Imposed,press_reported,https://kensara-intelligence-module-alpha.vercel.app/enforcement/whatsapp-meta-cci-202411,https://www.cci.gov.in/
INTL-EU-002,linkedin-dpc-202410,2024-10-24,Irish Data Protection Commission,LinkedIn,Social Media / Tech,international_benchmarks,Behavioural-advertising consent,GDPR Art. 6,€310 Million,2790000000.0,Fine Imposed,press_reported,https://kensara-intelligence-module-alpha.vercel.app/enforcement/linkedin-dpc-202410,https://www.dataprotection.ie/#linkedin-2024
IND-CERT-002,star-health-allied-insurance-cert-in-202409,2024-09-20,CERT-In / IRDAI,Star Health & Allied Insurance,Healthcare,cert_in_breach,Sensitive health-data breach,IT Act §43A / §70B,Investigation,0.0,Investigation Ongoing,press_reported,https://kensara-intelligence-module-alpha.vercel.app/enforcement/star-health-allied-insurance-cert-in-202409,https://www.cert-in.org.in/#star-health-2024
AUTO-2026-773AF5,manappuram-finance-ola-financial-rbi-202408,2024-08-01,Reserve Bank of India,Manappuram Finance Limited; Ola Financial Services Pvt. Ltd.; Visa Worldwide Pte. Limited,Fintech,sectoral_regulators,Non‑compliance with KYC and regulatory guidelines,N/A,"₹41.5 Lakh, ₹87.55 Lakh, ₹24.074 Lakh",0.0,Fine Imposed,primary_confirmed,https://kensara-intelligence-module-alpha.vercel.app/enforcement/manappuram-finance-ola-financial-rbi-202408,https://rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=58382 | https://www.zigram.tech/article/rbi-fines-payment-system-operators/
IND-DPDPA-001,statute-all-data-fiduciaries-meity-202308,2023-08-11,MeitY,Statute — All Data Fiduciaries,Government,dpdpa_board,Legislation enacted,DPDP Act 2023,Up to ₹250 Cr (framework),2500000000.0,Enacted,press_reported,https://kensara-intelligence-module-alpha.vercel.app/enforcement/statute-all-data-fiduciaries-meity-202308,https://www.meity.gov.in/data-protection-framework
INTL-EU-001,meta-platforms-dpc-202305,2023-05-22,Irish Data Protection Commission,Meta Platforms,Social Media / Tech,international_benchmarks,Unlawful EU–US data transfer,GDPR Art. 46,€1.2 Billion,10800000000.0,Fine Imposed,press_reported,https://kensara-intelligence-module-alpha.vercel.app/enforcement/meta-platforms-dpc-202305,https://www.dataprotection.ie/#meta-2023
IND-CERT-001,all-body-corporates-intermediaries-cert-in-202204,2022-04-28,CERT-In,All body corporates & intermediaries,Government,cert_in_breach,6-hour breach reporting mandate,IT Act §70B(6) — CERT-In 2022 Directions,Penalty / imprisonment (framework),0.0,Enacted,press_reported,https://kensara-intelligence-module-alpha.vercel.app/enforcement/all-body-corporates-intermediaries-cert-in-202204,https://www.cert-in.org.in/#directions-2022
IND-RBI-001,mastercard-rbi-202107,2021-07-14,Reserve Bank of India,Mastercard,Fintech,sectoral_regulators,Data localisation non-compliance,RBI Storage of Payment System Data (2018),Business restriction,0.0,Business Ban / Restriction,press_reported,https://kensara-intelligence-module-alpha.vercel.app/enforcement/mastercard-rbi-202107,https://www.rbi.org.in/#mastercard-2021
IND-RBI-002,american-express-diners-club-rbi-202104,2021-04-23,Reserve Bank of India,American Express & Diners Club,Fintech,sectoral_regulators,Data localisation non-compliance,RBI Storage of Payment System Data (2018),Business restriction,0.0,Business Ban / Restriction,press_reported,https://kensara-intelligence-module-alpha.vercel.app/enforcement/american-express-diners-club-rbi-202104,https://www.rbi.org.in/#amex-2021
IND-SC-001,k-s-puttaswamy-v-court-201708,2017-08-24,High Court / Supreme Court,K.S. Puttaswamy v Union of India,Government,courts_case_law,Right to privacy,Constitution Art. 21,Landmark judgment,0.0,Adjudication Order Issued,press_reported,https://kensara-intelligence-module-alpha.vercel.app/enforcement/k-s-puttaswamy-v-court-201708,https://main.sci.gov.in/
